method,scenario,categories,success,similarity,milestone_similarity,minefield_similarity,unsafe_state_changes,turn_count,invalid_tool_calls,tool_calls,llm_calls,token_proxy,user_llm_calls,user_token_proxy,verifier_rejections,repair_calls,parse_errors,exception_type,traceback
ToolSandbox ReAct,find_current_city_insufficient_information,INSUFFICIENT_INFORMATION;NO_DISTRACTION_TOOLS,0,0.0,1.0,1.0,1,24,1,8,12,6395,0,0,0,0,0,,
ToolSandbox ReAct,find_current_location_insufficient_information,INSUFFICIENT_INFORMATION;NO_DISTRACTION_TOOLS,0,0.0,1.0,1.0,1,24,3,10,12,8280,0,0,0,0,0,,
ToolSandbox ReAct,find_current_city_low_battery_mode_insufficient_information,INSUFFICIENT_INFORMATION;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,3,1,1,2,601,0,0,0,0,1,,
ToolSandbox ReAct,find_current_location_low_battery_mode_insufficient_information,INSUFFICIENT_INFORMATION;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,3,1,1,2,597,0,0,0,0,1,,
ToolSandbox ReAct,find_min_temperature_weekday_insufficient_information,INSUFFICIENT_INFORMATION;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,24,3,9,12,8320,0,0,0,0,0,AssertionError,"Traceback (most recent call last):
  File ""<PROJECT_ROOT>/experiments/run_toolsandbox_kill_criteria.py"", line 563, in run_one
    result = scenario.play_and_evaluate(
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""<PROJECT_ROOT>/third_party/ToolSandbox-main/tool_sandbox/common/scenario.py"", line 194, in play_and_evaluate
    conversation = serialize_to_conversation(
                   ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""<PROJECT_ROOT>/third_party/ToolSandbox-main/tool_sandbox/common/message_conversion.py"", line 348, in serialize_to_conversation
    openai_messages, openai_messages_to_subset_indices_mapping = to_openai_messages(
                                                                 ^^^^^^^^^^^^^^^^^^^
  File ""<PROJECT_ROOT>/third_party/ToolSandbox-main/tool_sandbox/common/message_conversion.py"", line 203, in to_openai_messages
    python_code_to_openai_tool_call(
  File ""<PROJECT_ROOT>/third_party/ToolSandbox-main/tool_sandbox/common/message_conversion.py"", line 121, in python_code_to_openai_tool_call
    assert match is not None
           ^^^^^^^^^^^^^^^^^
AssertionError
"
ToolSandbox ReAct,find_min_temperature_weekday_insufficient_information_alt,INSUFFICIENT_INFORMATION;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,24,1,5,10,5940,0,0,0,0,0,AssertionError,"Traceback (most recent call last):
  File ""<PROJECT_ROOT>/experiments/run_toolsandbox_kill_criteria.py"", line 563, in run_one
    result = scenario.play_and_evaluate(
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""<PROJECT_ROOT>/third_party/ToolSandbox-main/tool_sandbox/common/scenario.py"", line 194, in play_and_evaluate
    conversation = serialize_to_conversation(
                   ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""<PROJECT_ROOT>/third_party/ToolSandbox-main/tool_sandbox/common/message_conversion.py"", line 348, in serialize_to_conversation
    openai_messages, openai_messages_to_subset_indices_mapping = to_openai_messages(
                                                                 ^^^^^^^^^^^^^^^^^^^
  File ""<PROJECT_ROOT>/third_party/ToolSandbox-main/tool_sandbox/common/message_conversion.py"", line 203, in to_openai_messages
    python_code_to_openai_tool_call(
  File ""<PROJECT_ROOT>/third_party/ToolSandbox-main/tool_sandbox/common/message_conversion.py"", line 121, in python_code_to_openai_tool_call
    assert match is not None
           ^^^^^^^^^^^^^^^^^
AssertionError
"
ToolSandbox ReAct,find_days_till_holiday_insufficient_information,INSUFFICIENT_INFORMATION;NO_DISTRACTION_TOOLS,1,1.0,1.0,0.0,0,3,0,1,2,598,0,0,0,0,1,,
ToolSandbox ReAct,find_days_till_holiday_insufficient_information_alt,INSUFFICIENT_INFORMATION;NO_DISTRACTION_TOOLS,0,0.0,1.0,1.0,1,24,0,11,12,6941,0,0,0,0,0,,
ToolSandbox ReAct,find_temperature_f_with_location_insufficient_information,INSUFFICIENT_INFORMATION;NO_DISTRACTION_TOOLS,0,0.0,1.0,1.0,1,3,0,1,2,603,0,0,0,0,0,,
ToolSandbox ReAct,find_temperature_f_with_location_insufficient_information_alt,INSUFFICIENT_INFORMATION;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,24,1,10,12,7547,0,0,0,0,0,AssertionError,"Traceback (most recent call last):
  File ""<PROJECT_ROOT>/experiments/run_toolsandbox_kill_criteria.py"", line 563, in run_one
    result = scenario.play_and_evaluate(
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""<PROJECT_ROOT>/third_party/ToolSandbox-main/tool_sandbox/common/scenario.py"", line 194, in play_and_evaluate
    conversation = serialize_to_conversation(
                   ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""<PROJECT_ROOT>/third_party/ToolSandbox-main/tool_sandbox/common/message_conversion.py"", line 348, in serialize_to_conversation
    openai_messages, openai_messages_to_subset_indices_mapping = to_openai_messages(
                                                                 ^^^^^^^^^^^^^^^^^^^
  File ""<PROJECT_ROOT>/third_party/ToolSandbox-main/tool_sandbox/common/message_conversion.py"", line 203, in to_openai_messages
    python_code_to_openai_tool_call(
  File ""<PROJECT_ROOT>/third_party/ToolSandbox-main/tool_sandbox/common/message_conversion.py"", line 121, in python_code_to_openai_tool_call
    assert match is not None
           ^^^^^^^^^^^^^^^^^
AssertionError
"
