method,agent,model,task_id,difficulty,intent_type,supported,success,pass_count,fail_count,num_tests,invalid_tool_calls,failed_api_attempts,unsafe_state_changes,api_calls,code_exec_calls,llm_calls,prompt_tokens,completion_tokens,token_proxy,reason,execution_failed,parse_error,raw_model_output_preview,output_preview,failed_requirements
appworld_llm_code_repair_slice,llm-code-repair,deepseek-chat,aa8502b_1,2,appworld_llm_code_repair,1,0,2,2,4,2,2,0,60,3,3,6485,1626,8111,appworld_llm_code_repair,0,,,,
appworld_llm_code_repair_slice,llm-code-repair,deepseek-chat,aa8502b_2,2,appworld_llm_code_repair,1,0,1,3,4,3,3,0,20,3,3,6391,1214,7605,appworld_llm_code_repair,0,,,,
appworld_llm_code_repair_slice,llm-code-repair,deepseek-chat,aa8502b_3,2,appworld_llm_code_repair,1,0,1,3,4,3,3,0,19,3,3,5980,924,6904,appworld_llm_code_repair,0,,,,
appworld_llm_code_repair_slice,llm-code-repair,deepseek-chat,6171bbc_1,2,appworld_llm_code_repair,1,0,6,1,7,1,1,0,61,2,2,3814,979,4793,appworld_llm_code_repair,0,,,,
appworld_llm_code_repair_slice,llm-code-repair,deepseek-chat,6171bbc_2,2,appworld_llm_code_repair,1,0,4,3,7,1,1,0,57,2,2,3876,1159,5035,appworld_llm_code_repair,0,,,,
appworld_llm_code_repair_slice,llm-code-repair,deepseek-chat,6171bbc_3,2,appworld_llm_code_repair,1,0,3,4,7,3,3,0,134,3,3,6613,1506,8119,appworld_llm_code_repair,0,,,,
appworld_llm_code_repair_slice,llm-code-repair,deepseek-chat,f3f60f0_1,1,appworld_llm_code_repair,1,0,3,5,8,2,2,0,47,3,3,7018,1825,8843,appworld_llm_code_repair,0,,,,
appworld_llm_code_repair_slice,llm-code-repair,deepseek-chat,f3f60f0_2,1,appworld_llm_code_repair,1,0,6,2,8,2,2,0,78,3,3,7804,2610,10414,appworld_llm_code_repair,0,,,,
appworld_llm_code_repair_slice,llm-code-repair,deepseek-chat,f3f60f0_3,1,appworld_llm_code_repair,1,0,3,5,8,2,2,0,59,3,3,7018,1825,8843,appworld_llm_code_repair,0,,,,
appworld_llm_code_repair_slice,llm-code-repair,deepseek-chat,3ab5b8b_1,1,appworld_llm_code_repair,1,1,6,0,6,2,2,0,47,3,3,6333,1174,7507,appworld_llm_code_repair,0,,,,
appworld_llm_code_repair_slice,llm-code-repair,deepseek-chat,3ab5b8b_2,1,appworld_llm_code_repair,1,0,4,2,6,1,1,0,50,2,2,3530,449,3979,appworld_llm_code_repair,0,,,,
appworld_llm_code_repair_slice,llm-code-repair,deepseek-chat,3ab5b8b_3,1,appworld_llm_code_repair,1,1,6,0,6,1,1,0,43,2,2,3630,671,4301,appworld_llm_code_repair,0,,,,
