method,agent,model,task_id,difficulty,intent_type,supported,success,pass_count,fail_count,num_tests,invalid_tool_calls,failed_api_attempts,unsafe_state_changes,api_calls,code_exec_calls,llm_calls,prompt_tokens,completion_tokens,token_proxy,reason,execution_failed,parse_error,raw_model_output_preview,output_preview,failed_requirements
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,0d8a4ee_1,2,appworld_llm_react_code,1,0,1,4,5,4,4,0,0,4,5,9612,645,10257,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,0d8a4ee_2,2,appworld_llm_react_code,1,0,1,4,5,3,3,0,0,2,4,6977,398,7375,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,0d8a4ee_3,2,appworld_llm_react_code,1,0,1,4,5,4,4,0,0,4,5,9402,496,9898,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,13547f5_1,1,appworld_llm_react_code,1,0,1,5,6,5,5,0,0,5,5,8873,441,9314,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,13547f5_2,1,appworld_llm_react_code,1,0,2,4,6,0,0,0,2,1,1,1440,71,1511,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,13547f5_3,1,appworld_llm_react_code,1,0,1,5,6,5,5,0,0,5,5,9592,845,10437,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,37a8675_1,2,appworld_llm_react_code,1,0,0,6,6,5,5,0,4,5,5,9014,485,9499,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,37a8675_2,2,appworld_llm_react_code,1,0,0,6,6,5,5,0,2,5,5,10251,1083,11334,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,37a8675_3,2,appworld_llm_react_code,1,0,0,6,6,5,5,0,4,5,5,9368,525,9893,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,024c982_1,1,appworld_llm_react_code,1,0,0,7,7,3,3,0,0,1,4,6645,218,6863,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,024c982_2,1,appworld_llm_react_code,0,0,0,7,7,4,3,0,0,0,4,6966,493,7459,appworld_llm_react_code,0,no_executable_code_step,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,024c982_3,1,appworld_llm_react_code,1,0,0,7,7,5,5,0,1,5,5,10071,1029,11100,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,4fab96f_1,2,appworld_llm_react_code,1,0,1,7,8,3,3,0,0,3,4,7512,523,8035,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,4fab96f_2,2,appworld_llm_react_code,1,0,1,7,8,5,5,0,0,5,5,8546,229,8775,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,4fab96f_3,2,appworld_llm_react_code,1,0,1,7,8,3,3,0,0,3,4,6936,325,7261,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,6ea6792_1,1,appworld_llm_react_code,1,0,1,5,6,5,5,0,3,5,5,9223,661,9884,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,6ea6792_2,1,appworld_llm_react_code,1,0,1,5,6,3,3,0,3,3,4,7538,343,7881,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,6ea6792_3,1,appworld_llm_react_code,1,0,1,5,6,5,5,0,4,5,5,9237,697,9934,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,ff58e36_1,2,appworld_llm_react_code,1,0,1,5,6,4,4,0,7,4,5,10634,910,11544,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,ff58e36_2,2,appworld_llm_react_code,1,0,1,5,6,4,4,0,0,4,5,9195,449,9644,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,ff58e36_3,2,appworld_llm_react_code,0,0,1,5,6,4,3,0,0,0,4,7072,556,7628,appworld_llm_react_code,0,no_executable_code_step,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,5e27cd7_1,1,appworld_llm_react_code,1,0,1,3,4,4,4,0,0,4,5,9418,499,9917,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,5e27cd7_2,1,appworld_llm_react_code,1,0,1,3,4,4,4,0,0,4,5,9905,710,10615,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,5e27cd7_3,1,appworld_llm_react_code,1,0,1,3,4,4,4,0,0,4,5,9418,499,9917,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,09ac073_1,2,appworld_llm_react_code,1,0,3,3,6,3,3,0,6,3,4,7295,498,7793,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,09ac073_2,2,appworld_llm_react_code,1,0,3,3,6,4,4,0,8,4,5,11485,1190,12675,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,09ac073_3,2,appworld_llm_react_code,1,0,3,3,6,3,3,0,6,3,4,8330,895,9225,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,771d8fc_1,1,appworld_llm_react_code,1,0,2,4,6,4,4,0,0,4,5,10330,987,11317,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,771d8fc_2,1,appworld_llm_react_code,1,0,2,4,6,5,5,0,2,5,5,10486,1268,11754,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,771d8fc_3,1,appworld_llm_react_code,1,0,2,4,6,4,4,0,0,3,5,10083,662,10745,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,cf6abd2_1,1,appworld_llm_react_code,0,0,1,7,8,4,3,0,0,0,4,6956,500,7456,appworld_llm_react_code,0,no_executable_code_step,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,cf6abd2_2,1,appworld_llm_react_code,1,0,1,7,8,3,3,0,0,3,4,7058,297,7355,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,cf6abd2_3,1,appworld_llm_react_code,1,0,1,7,8,3,3,0,0,3,4,6891,249,7140,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,07b42fd_1,1,appworld_llm_react_code,1,0,1,4,5,4,4,0,0,4,5,9490,586,10076,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,07b42fd_2,1,appworld_llm_react_code,0,0,1,4,5,4,3,0,0,0,4,7240,646,7886,appworld_llm_react_code,0,no_executable_code_step,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,07b42fd_3,1,appworld_llm_react_code,1,0,1,4,5,4,4,0,2,4,5,10062,818,10880,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,aa8502b_1,2,appworld_llm_react_code,1,0,1,3,4,5,5,0,3,5,5,9816,879,10695,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,aa8502b_2,2,appworld_llm_react_code,1,0,1,3,4,4,4,0,2,4,5,10458,982,11440,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,aa8502b_3,2,appworld_llm_react_code,1,0,1,3,4,5,5,0,3,5,5,9816,879,10695,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,6171bbc_1,2,appworld_llm_react_code,1,0,1,6,7,4,4,0,3,4,5,10772,1091,11863,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,6171bbc_2,2,appworld_llm_react_code,0,0,1,6,7,4,3,0,0,0,4,8278,1147,9425,appworld_llm_react_code,0,no_executable_code_step,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,6171bbc_3,2,appworld_llm_react_code,1,0,1,6,7,4,4,0,1,4,5,10839,1200,12039,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,f3f60f0_1,1,appworld_llm_react_code,1,0,2,6,8,4,4,0,4,4,5,10524,998,11522,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,f3f60f0_2,1,appworld_llm_react_code,1,0,2,6,8,4,4,0,4,4,5,10524,998,11522,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,f3f60f0_3,1,appworld_llm_react_code,1,0,2,6,8,4,4,0,4,4,5,10524,998,11522,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,3ab5b8b_1,1,appworld_llm_react_code,1,0,1,5,6,5,5,0,5,5,5,9295,717,10012,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,3ab5b8b_2,1,appworld_llm_react_code,0,0,1,5,6,4,3,0,0,0,4,7610,835,8445,appworld_llm_react_code,0,no_executable_code_step,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,3ab5b8b_3,1,appworld_llm_react_code,1,0,1,5,6,4,4,0,0,3,5,9221,554,9775,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,692c77d_1,2,appworld_llm_react_code,1,0,1,6,7,3,3,0,3,3,4,8150,772,8922,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,692c77d_2,2,appworld_llm_react_code,1,0,1,6,7,3,3,0,6,3,4,7792,751,8543,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,692c77d_3,2,appworld_llm_react_code,1,0,1,6,7,3,3,0,3,3,4,7850,623,8473,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,31dc501_1,1,appworld_llm_react_code,1,0,0,6,6,3,3,0,0,3,4,6958,373,7331,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,31dc501_2,1,appworld_llm_react_code,1,0,0,6,6,4,4,0,0,4,5,9177,491,9668,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,31dc501_3,1,appworld_llm_react_code,1,0,0,6,6,4,4,0,0,4,5,9197,518,9715,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,07bb666_1,1,appworld_llm_react_code,1,0,0,6,6,1,1,0,5,5,5,8665,461,9126,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,07bb666_2,1,appworld_llm_react_code,1,0,0,6,6,5,5,0,3,5,5,10052,776,10828,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,07bb666_3,1,appworld_llm_react_code,1,0,0,6,6,5,5,0,0,3,5,9888,1043,10931,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,396c5a2_1,1,appworld_llm_react_code,1,0,0,6,6,5,5,0,3,5,5,10194,1044,11238,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,396c5a2_2,1,appworld_llm_react_code,1,0,0,6,6,4,4,0,2,4,5,10099,800,10899,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,396c5a2_3,1,appworld_llm_react_code,1,0,0,6,6,5,5,0,0,5,5,9082,451,9533,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,57c3486_1,1,appworld_llm_react_code,1,0,1,4,5,3,3,0,0,3,4,7477,596,8073,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,57c3486_2,1,appworld_llm_react_code,1,0,1,4,5,3,3,0,0,3,4,7477,596,8073,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,57c3486_3,1,appworld_llm_react_code,1,0,1,4,5,3,3,0,0,3,4,7477,596,8073,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,652485c_1,3,appworld_llm_react_code,0,0,2,9,11,2,1,0,0,0,2,3370,440,3810,appworld_llm_react_code,0,no_executable_code_step,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,652485c_2,3,appworld_llm_react_code,0,0,2,9,11,2,1,0,0,0,2,3370,440,3810,appworld_llm_react_code,0,no_executable_code_step,,,
appworld_llm_react_code_slice,llm-react-code,Qwen/Qwen2.5-3B-Instruct,652485c_3,3,appworld_llm_react_code,0,0,2,9,11,2,1,0,0,0,2,3370,440,3810,appworld_llm_react_code,0,no_executable_code_step,,,
