method,agent,model,task_id,difficulty,intent_type,supported,success,pass_count,fail_count,num_tests,invalid_tool_calls,failed_api_attempts,unsafe_state_changes,api_calls,code_exec_calls,llm_calls,prompt_tokens,completion_tokens,token_proxy,reason,execution_failed,parse_error,raw_model_output_preview,output_preview,failed_requirements
appworld_llm_direct_code_slice,llm-code,deepseek-chat,0d8a4ee_1,2,appworld_llm_direct_code,1,0,2,3,5,0,0,0,6,1,1,1392,294,1686,appworld_llm_direct_code,0,,,,
appworld_llm_direct_code_slice,llm-code,deepseek-chat,0d8a4ee_2,2,appworld_llm_direct_code,1,0,1,4,5,1,0,0,6,1,1,1393,415,1808,appworld_llm_direct_code,1,,,,
appworld_llm_direct_code_slice,llm-code,deepseek-chat,0d8a4ee_3,2,appworld_llm_direct_code,1,0,1,4,5,1,0,0,7,1,1,1395,436,1831,appworld_llm_direct_code,1,,,,
appworld_llm_direct_code_slice,llm-code,deepseek-chat,13547f5_1,1,appworld_llm_direct_code,1,1,6,0,6,0,0,0,9,1,1,1384,250,1634,appworld_llm_direct_code,0,,,,
appworld_llm_direct_code_slice,llm-code,deepseek-chat,13547f5_2,1,appworld_llm_direct_code,1,1,6,0,6,0,0,0,6,1,1,1385,189,1574,appworld_llm_direct_code,0,,,,
appworld_llm_direct_code_slice,llm-code,deepseek-chat,13547f5_3,1,appworld_llm_direct_code,1,1,6,0,6,0,0,0,7,1,1,1384,272,1656,appworld_llm_direct_code,0,,,,
appworld_llm_direct_code_slice,llm-code,deepseek-chat,37a8675_1,2,appworld_llm_direct_code,1,0,0,6,6,1,0,0,4,1,1,1384,394,1778,appworld_llm_direct_code,1,,,,
appworld_llm_direct_code_slice,llm-code,deepseek-chat,37a8675_2,2,appworld_llm_direct_code,1,0,0,6,6,1,0,0,5,1,1,1384,390,1774,appworld_llm_direct_code,1,,,,
appworld_llm_direct_code_slice,llm-code,deepseek-chat,37a8675_3,2,appworld_llm_direct_code,1,0,0,6,6,1,0,0,5,1,1,1384,406,1790,appworld_llm_direct_code,1,,,,
appworld_llm_direct_code_slice,llm-code,deepseek-chat,024c982_1,1,appworld_llm_direct_code,1,1,7,0,7,0,0,0,6,1,1,1388,357,1745,appworld_llm_direct_code,0,,,,
appworld_llm_direct_code_slice,llm-code,deepseek-chat,024c982_2,1,appworld_llm_direct_code,1,0,0,7,7,1,0,0,7,1,1,1387,352,1739,appworld_llm_direct_code,1,,,,
appworld_llm_direct_code_slice,llm-code,deepseek-chat,024c982_3,1,appworld_llm_direct_code,1,0,0,7,7,1,0,0,4,1,1,1387,354,1741,appworld_llm_direct_code,1,,,,
appworld_llm_direct_code_slice,llm-code,deepseek-chat,4fab96f_1,2,appworld_llm_direct_code,1,0,1,7,8,1,0,0,6,1,1,1393,553,1946,appworld_llm_direct_code,1,,,,
appworld_llm_direct_code_slice,llm-code,deepseek-chat,4fab96f_2,2,appworld_llm_direct_code,1,0,1,7,8,1,0,0,20,1,1,1392,673,2065,appworld_llm_direct_code,1,,,,
appworld_llm_direct_code_slice,llm-code,deepseek-chat,4fab96f_3,2,appworld_llm_direct_code,1,0,1,7,8,1,0,0,1000,1,1,1393,736,2129,appworld_llm_direct_code,1,,,,
appworld_llm_direct_code_slice,llm-code,deepseek-chat,6ea6792_1,1,appworld_llm_direct_code,1,0,1,5,6,1,0,0,7,1,1,1378,323,1701,appworld_llm_direct_code,1,,,,
appworld_llm_direct_code_slice,llm-code,deepseek-chat,6ea6792_2,1,appworld_llm_direct_code,1,0,1,5,6,1,0,0,5,1,1,1379,249,1628,appworld_llm_direct_code,1,,,,
appworld_llm_direct_code_slice,llm-code,deepseek-chat,6ea6792_3,1,appworld_llm_direct_code,1,0,1,5,6,1,0,0,8,1,1,1377,514,1891,appworld_llm_direct_code,1,,,,
appworld_llm_direct_code_slice,llm-code,deepseek-chat,ff58e36_1,2,appworld_llm_direct_code,1,0,2,4,6,0,0,0,8,1,1,1383,529,1912,appworld_llm_direct_code,0,,,,
appworld_llm_direct_code_slice,llm-code,deepseek-chat,ff58e36_2,2,appworld_llm_direct_code,1,0,1,5,6,1,0,0,4,1,1,1382,822,2204,appworld_llm_direct_code,1,,,,
appworld_llm_direct_code_slice,llm-code,deepseek-chat,ff58e36_3,2,appworld_llm_direct_code,1,0,1,5,6,1,0,0,4,1,1,1383,388,1771,appworld_llm_direct_code,1,,,,
appworld_llm_direct_code_slice,llm-code,deepseek-chat,5e27cd7_1,1,appworld_llm_direct_code,1,0,1,3,4,1,0,0,6,1,1,1377,253,1630,appworld_llm_direct_code,1,,,,
appworld_llm_direct_code_slice,llm-code,deepseek-chat,5e27cd7_2,1,appworld_llm_direct_code,1,0,1,3,4,1,0,0,5,1,1,1377,253,1630,appworld_llm_direct_code,1,,,,
appworld_llm_direct_code_slice,llm-code,deepseek-chat,5e27cd7_3,1,appworld_llm_direct_code,1,0,1,3,4,1,0,0,6,1,1,1377,253,1630,appworld_llm_direct_code,1,,,,
appworld_llm_direct_code_slice,llm-code,deepseek-chat,09ac073_1,2,appworld_llm_direct_code,1,0,3,3,6,1,0,0,9,1,1,1389,435,1824,appworld_llm_direct_code,1,,,,
appworld_llm_direct_code_slice,llm-code,deepseek-chat,09ac073_2,2,appworld_llm_direct_code,1,0,3,3,6,1,0,0,9,1,1,1390,455,1845,appworld_llm_direct_code,1,,,,
appworld_llm_direct_code_slice,llm-code,deepseek-chat,09ac073_3,2,appworld_llm_direct_code,1,0,3,3,6,1,0,0,9,1,1,1389,491,1880,appworld_llm_direct_code,1,,,,
appworld_llm_direct_code_slice,llm-code,deepseek-chat,771d8fc_1,1,appworld_llm_direct_code,1,0,2,4,6,1,0,0,4,1,1,1383,293,1676,appworld_llm_direct_code,1,,,,
appworld_llm_direct_code_slice,llm-code,deepseek-chat,771d8fc_2,1,appworld_llm_direct_code,1,0,2,4,6,1,0,0,4,1,1,1383,293,1676,appworld_llm_direct_code,1,,,,
appworld_llm_direct_code_slice,llm-code,deepseek-chat,771d8fc_3,1,appworld_llm_direct_code,1,0,2,4,6,1,0,0,4,1,1,1383,293,1676,appworld_llm_direct_code,1,,,,
appworld_llm_direct_code_slice,llm-code,deepseek-chat,cf6abd2_1,1,appworld_llm_direct_code,1,0,1,7,8,1,0,0,4,1,1,1385,453,1838,appworld_llm_direct_code,1,,,,
appworld_llm_direct_code_slice,llm-code,deepseek-chat,cf6abd2_2,1,appworld_llm_direct_code,1,0,1,7,8,1,0,0,4,1,1,1384,301,1685,appworld_llm_direct_code,1,,,,
appworld_llm_direct_code_slice,llm-code,deepseek-chat,cf6abd2_3,1,appworld_llm_direct_code,1,0,1,7,8,1,0,0,4,1,1,1384,300,1684,appworld_llm_direct_code,1,,,,
appworld_llm_direct_code_slice,llm-code,deepseek-chat,07b42fd_1,1,appworld_llm_direct_code,1,0,1,4,5,1,0,0,4,1,1,1379,270,1649,appworld_llm_direct_code,1,,,,
appworld_llm_direct_code_slice,llm-code,deepseek-chat,07b42fd_2,1,appworld_llm_direct_code,1,0,1,4,5,1,0,0,4,1,1,1380,293,1673,appworld_llm_direct_code,1,,,,
appworld_llm_direct_code_slice,llm-code,deepseek-chat,07b42fd_3,1,appworld_llm_direct_code,1,0,1,4,5,1,0,0,4,1,1,1380,300,1680,appworld_llm_direct_code,1,,,,
appworld_llm_direct_code_slice,llm-code,deepseek-chat,aa8502b_1,2,appworld_llm_direct_code,1,0,1,3,4,1,0,0,6,1,1,1381,462,1843,appworld_llm_direct_code,1,,,,
appworld_llm_direct_code_slice,llm-code,deepseek-chat,aa8502b_2,2,appworld_llm_direct_code,1,0,1,3,4,1,0,0,6,1,1,1383,390,1773,appworld_llm_direct_code,1,,,,
