method,agent,model,task_id,difficulty,intent_type,supported,success,pass_count,fail_count,num_tests,invalid_tool_calls,failed_api_attempts,unsafe_state_changes,api_calls,code_exec_calls,llm_calls,prompt_tokens,completion_tokens,token_proxy,reason,execution_failed,parse_error,raw_model_output_preview,output_preview,failed_requirements
appworld_llm_intent_code_slice,llm-intent-code,deepseek-chat,0d8a4ee_1,2,appworld_llm_intent_code,1,0,4,1,5,0,0,0,15,1,2,5003,568,5571,appworld_llm_intent_code,0,,,,
appworld_llm_intent_code_slice,llm-intent-code,deepseek-chat,0d8a4ee_2,2,appworld_llm_intent_code,1,0,4,1,5,0,0,0,19,1,2,5006,561,5567,appworld_llm_intent_code,0,,,,
appworld_llm_intent_code_slice,llm-intent-code,deepseek-chat,0d8a4ee_3,2,appworld_llm_intent_code,1,0,1,4,5,1,0,0,1000,1,2,5011,524,5535,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,deepseek-chat,13547f5_1,1,appworld_llm_intent_code,1,0,5,1,6,1,0,0,7,1,2,4983,300,5283,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,deepseek-chat,13547f5_2,1,appworld_llm_intent_code,1,0,1,5,6,1,0,0,4,1,2,4987,282,5269,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,deepseek-chat,13547f5_3,1,appworld_llm_intent_code,1,0,1,5,6,1,0,0,4,1,2,4985,392,5377,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,deepseek-chat,37a8675_1,2,appworld_llm_intent_code,1,0,0,6,6,1,0,0,5,1,2,4980,474,5454,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,deepseek-chat,37a8675_2,2,appworld_llm_intent_code,1,0,0,6,6,1,0,0,4,1,2,4980,427,5407,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,deepseek-chat,37a8675_3,2,appworld_llm_intent_code,1,0,0,6,6,1,0,0,6,1,2,4980,402,5382,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,deepseek-chat,024c982_1,1,appworld_llm_intent_code,1,0,6,1,7,1,0,0,5,1,2,5003,421,5424,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,deepseek-chat,024c982_2,1,appworld_llm_intent_code,1,0,0,7,7,1,0,0,4,1,2,5002,483,5485,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,deepseek-chat,024c982_3,1,appworld_llm_intent_code,1,0,0,7,7,1,0,0,4,1,2,5001,424,5425,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,deepseek-chat,4fab96f_1,2,appworld_llm_intent_code,1,0,1,7,8,1,0,0,4,1,2,4994,584,5578,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,deepseek-chat,4fab96f_2,2,appworld_llm_intent_code,1,0,1,7,8,1,0,0,1000,1,2,4994,489,5483,appworld_llm_intent_code,1,,,,
