method,agent,model,task_id,difficulty,intent_type,supported,success,pass_count,fail_count,num_tests,invalid_tool_calls,failed_api_attempts,unsafe_state_changes,api_calls,code_exec_calls,llm_calls,prompt_tokens,completion_tokens,token_proxy,reason,execution_failed,parse_error,raw_model_output_preview,output_preview,failed_requirements
appworld_llm_code_repair_slice,llm-code-repair,Qwen/Qwen2.5-3B-Instruct,0d8a4ee_1,2,appworld_llm_code_repair,1,0,1,4,5,1,1,0,0,2,2,2863,249,3112,appworld_llm_code_repair,0,,,,
appworld_llm_code_repair_slice,llm-code-repair,Qwen/Qwen2.5-3B-Instruct,0d8a4ee_2,2,appworld_llm_code_repair,1,0,2,3,5,2,2,0,4,3,3,4810,445,5255,appworld_llm_code_repair,0,,,,
appworld_llm_code_repair_slice,llm-code-repair,Qwen/Qwen2.5-3B-Instruct,0d8a4ee_3,2,appworld_llm_code_repair,1,0,1,4,5,3,3,0,1,3,3,4842,572,5414,appworld_llm_code_repair,0,,,,
appworld_llm_code_repair_slice,llm-code-repair,Qwen/Qwen2.5-3B-Instruct,13547f5_1,1,appworld_llm_code_repair,1,0,1,5,6,3,3,0,0,3,3,4749,459,5208,appworld_llm_code_repair,0,,,,
appworld_llm_code_repair_slice,llm-code-repair,Qwen/Qwen2.5-3B-Instruct,13547f5_2,1,appworld_llm_code_repair,1,0,1,5,6,3,3,0,0,3,3,4742,508,5250,appworld_llm_code_repair,0,,,,
appworld_llm_code_repair_slice,llm-code-repair,Qwen/Qwen2.5-3B-Instruct,13547f5_3,1,appworld_llm_code_repair,1,0,1,5,6,3,3,0,0,3,3,4501,272,4773,appworld_llm_code_repair,0,,,,
appworld_llm_code_repair_slice,llm-code-repair,Qwen/Qwen2.5-3B-Instruct,37a8675_1,2,appworld_llm_code_repair,1,0,0,6,6,3,3,0,6,3,3,5097,819,5916,appworld_llm_code_repair,0,,,,
appworld_llm_code_repair_slice,llm-code-repair,Qwen/Qwen2.5-3B-Instruct,37a8675_2,2,appworld_llm_code_repair,1,0,1,5,6,2,2,0,4,3,3,4674,376,5050,appworld_llm_code_repair,0,,,,
appworld_llm_code_repair_slice,llm-code-repair,Qwen/Qwen2.5-3B-Instruct,37a8675_3,2,appworld_llm_code_repair,1,0,0,6,6,3,3,0,6,3,3,5097,819,5916,appworld_llm_code_repair,0,,,,
appworld_llm_code_repair_slice,llm-code-repair,Qwen/Qwen2.5-3B-Instruct,024c982_1,1,appworld_llm_code_repair,1,0,0,7,7,3,3,0,0,3,3,4535,271,4806,appworld_llm_code_repair,0,,,,
appworld_llm_code_repair_slice,llm-code-repair,Qwen/Qwen2.5-3B-Instruct,024c982_2,1,appworld_llm_code_repair,1,0,0,7,7,3,3,0,0,3,3,4495,284,4779,appworld_llm_code_repair,0,,,,
appworld_llm_code_repair_slice,llm-code-repair,Qwen/Qwen2.5-3B-Instruct,024c982_3,1,appworld_llm_code_repair,1,0,0,7,7,3,3,0,0,3,3,4535,271,4806,appworld_llm_code_repair,0,,,,
