method,scenario,categories,success,similarity,milestone_similarity,minefield_similarity,unsafe_state_changes,turn_count,invalid_tool_calls,tool_calls,llm_calls,token_proxy,user_llm_calls,user_token_proxy,verifier_rejections,repair_calls,parse_errors,exception_type,traceback
ToolSandbox ReAct,cellular_off,SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,30,7,7,8,4462,0,0,0,0,0,AssertionError,"Traceback (most recent call last):
  File ""<PROJECT_ROOT>/experiments/run_toolsandbox_kill_criteria.py"", line 375, in run_one
    result = scenario.play_and_evaluate(
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""<PROJECT_ROOT>/third_party/ToolSandbox-main/tool_sandbox/common/scenario.py"", line 194, in play_and_evaluate
    conversation = serialize_to_conversation(
                   ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""<PROJECT_ROOT>/third_party/ToolSandbox-main/tool_sandbox/common/message_conversion.py"", line 348, in serialize_to_conversation
    openai_messages, openai_messages_to_subset_indices_mapping = to_openai_messages(
                                                                 ^^^^^^^^^^^^^^^^^^^
  File ""<PROJECT_ROOT>/third_party/ToolSandbox-main/tool_sandbox/common/message_conversion.py"", line 203, in to_openai_messages
    python_code_to_openai_tool_call(
  File ""<PROJECT_ROOT>/third_party/ToolSandbox-main/tool_sandbox/common/message_conversion.py"", line 121, in python_code_to_openai_tool_call
    assert match is not None
           ^^^^^^^^^^^^^^^^^
AssertionError
"
ToolSandbox ReAct,get_cellular,SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,30,15,15,15,10043,0,0,0,0,0,,
ToolSandbox ReAct,wifi_off,SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.5,0.5,0.0,0,15,6,7,8,3444,0,0,0,0,1,,
ToolSandbox ReAct,get_wifi,SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.2554,0.2554,0.0,0,15,7,7,8,4064,0,0,0,0,0,,
ToolSandbox ReAct,search_phone_number_with_name,SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,30,15,15,15,14964,0,0,0,0,0,,
ToolSandbox ReAct,search_name_with_relationship,SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.245,0.245,0.0,0,15,0,7,8,3811,0,0,0,0,0,,
ToolSandbox ReAct,search_relationship_with_phone_number,SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,9,0,4,5,2818,0,0,0,0,0,,
ToolSandbox ReAct,add_contact_with_name_and_phone_number,SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,3,0,1,2,662,0,0,0,0,1,,
ToolSandbox ReAct,remove_contact_with_id,SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.5,0.5,0.0,0,15,6,7,8,8133,0,0,0,0,0,,
ToolSandbox ReAct,update_contact_with_id_and_phone_number,SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.5,0.5,0.0,0,3,0,1,2,871,0,0,0,0,1,,
ToolSandbox ReAct,search_sender_phone_number_with_content,SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.5,0.5,0.0,0,7,0,3,4,4359,0,0,0,0,0,,
ToolSandbox ReAct,send_message_with_phone_number_and_content,SINGLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.5,0.5,0.0,0,30,0,15,15,11704,0,0,0,0,0,,
ToolSandbox ReAct,search_message_with_recency_latest,MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,25,12,12,13,12937,0,0,0,0,0,,
ToolSandbox ReAct,search_message_with_recency_latest_alt,MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,25,12,12,13,12930,0,0,0,0,0,,
ToolSandbox ReAct,search_message_with_recency_oldest,MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,25,12,12,13,12930,0,0,0,0,0,,
ToolSandbox ReAct,search_message_with_recency_oldest_alt,MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,25,12,12,13,12944,0,0,0,0,0,,
ToolSandbox ReAct,remove_contact_by_phone,CANONICALIZATION;MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,15,7,7,8,8767,0,0,0,0,0,,
ToolSandbox ReAct,remove_contact_by_phone_alt,CANONICALIZATION;MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,15,7,7,8,8963,0,0,0,0,0,,
ToolSandbox ReAct,remove_contact_by_phone_ambiguous,CANONICALIZATION;MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,15,7,7,8,8799,0,0,0,0,0,,
ToolSandbox ReAct,remove_contact_by_phone_ambiguous_alt,CANONICALIZATION;MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,15,7,7,8,8766,0,0,0,0,0,,
ToolSandbox ReAct,turn_on_wifi_low_battery_mode,STATE_DEPENDENCY;MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,30,14,15,15,11081,0,0,0,0,0,,
ToolSandbox ReAct,turn_on_wifi_low_battery_mode_implicit,STATE_DEPENDENCY;MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,30,14,15,15,11102,0,0,0,0,0,,
ToolSandbox ReAct,turn_on_cellular_low_battery_mode,STATE_DEPENDENCY;MULTIPLE_TOOL_CALL;SINGLE_USER_TURN;NO_DISTRACTION_TOOLS,0,0.0,0.0,0.0,0,30,15,15,15,10616,0,0,0,0,0,,
