method,agent,model,task_id,difficulty,intent_type,supported,success,pass_count,fail_count,num_tests,invalid_tool_calls,failed_api_attempts,unsafe_state_changes,api_calls,code_exec_calls,llm_calls,prompt_tokens,completion_tokens,token_proxy,reason,execution_failed,parse_error,raw_model_output_preview,output_preview,failed_requirements
appworld_llm_intent_code_slice,llm-intent-code,Qwen/Qwen2.5-3B-Instruct,0d8a4ee_1,2,appworld_llm_intent_code,1,0,1,4,5,1,0,0,2,1,2,4419,233,4652,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,Qwen/Qwen2.5-3B-Instruct,0d8a4ee_2,2,appworld_llm_intent_code,1,0,1,4,5,1,0,0,2,1,2,4422,271,4693,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,Qwen/Qwen2.5-3B-Instruct,0d8a4ee_3,2,appworld_llm_intent_code,1,0,1,4,5,1,0,0,0,1,2,4427,245,4672,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,Qwen/Qwen2.5-3B-Instruct,13547f5_1,1,appworld_llm_intent_code,1,0,1,5,6,1,0,0,2,1,2,4397,213,4610,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,Qwen/Qwen2.5-3B-Instruct,13547f5_2,1,appworld_llm_intent_code,1,0,1,5,6,1,0,0,0,1,2,4401,102,4503,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,Qwen/Qwen2.5-3B-Instruct,13547f5_3,1,appworld_llm_intent_code,1,0,1,5,6,1,0,0,0,1,2,4399,174,4573,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,Qwen/Qwen2.5-3B-Instruct,37a8675_1,2,appworld_llm_intent_code,1,0,0,6,6,1,0,0,0,1,2,4417,328,4745,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,Qwen/Qwen2.5-3B-Instruct,37a8675_2,2,appworld_llm_intent_code,1,0,0,6,6,1,0,0,0,1,2,4420,185,4605,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,Qwen/Qwen2.5-3B-Instruct,37a8675_3,2,appworld_llm_intent_code,1,0,0,6,6,1,0,0,0,1,2,4417,209,4626,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,Qwen/Qwen2.5-3B-Instruct,024c982_1,1,appworld_llm_intent_code,1,0,0,7,7,1,0,0,0,1,2,4420,153,4573,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,Qwen/Qwen2.5-3B-Instruct,024c982_2,1,appworld_llm_intent_code,1,0,0,7,7,1,0,0,0,1,2,4421,1445,5866,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,Qwen/Qwen2.5-3B-Instruct,024c982_3,1,appworld_llm_intent_code,1,0,0,7,7,1,0,0,0,1,2,4420,141,4561,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,Qwen/Qwen2.5-3B-Instruct,4fab96f_1,2,appworld_llm_intent_code,1,0,1,7,8,1,0,0,0,1,2,4410,314,4724,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,Qwen/Qwen2.5-3B-Instruct,4fab96f_2,2,appworld_llm_intent_code,1,0,1,7,8,1,0,0,0,1,2,4409,332,4741,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,Qwen/Qwen2.5-3B-Instruct,4fab96f_3,2,appworld_llm_intent_code,1,0,1,7,8,1,0,0,0,1,2,4410,322,4732,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,Qwen/Qwen2.5-3B-Instruct,6ea6792_1,1,appworld_llm_intent_code,1,0,1,5,6,1,0,0,0,1,2,4380,321,4701,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,Qwen/Qwen2.5-3B-Instruct,6ea6792_2,1,appworld_llm_intent_code,1,0,1,5,6,1,0,0,0,1,2,4378,185,4563,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,Qwen/Qwen2.5-3B-Instruct,6ea6792_3,1,appworld_llm_intent_code,1,0,1,5,6,1,0,0,0,1,2,4377,214,4591,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,Qwen/Qwen2.5-3B-Instruct,ff58e36_1,2,appworld_llm_intent_code,1,0,1,5,6,1,0,0,0,1,2,4383,207,4590,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,Qwen/Qwen2.5-3B-Instruct,ff58e36_2,2,appworld_llm_intent_code,1,0,1,5,6,1,0,0,0,1,2,4382,314,4696,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,Qwen/Qwen2.5-3B-Instruct,ff58e36_3,2,appworld_llm_intent_code,1,0,1,5,6,1,0,0,0,1,2,4385,258,4643,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,Qwen/Qwen2.5-3B-Instruct,5e27cd7_1,1,appworld_llm_intent_code,1,0,1,3,4,1,0,0,0,1,2,4363,160,4523,appworld_llm_intent_code,1,,,,
