method,agent,model,task_id,difficulty,intent_type,supported,success,pass_count,fail_count,num_tests,invalid_tool_calls,failed_api_attempts,unsafe_state_changes,api_calls,code_exec_calls,llm_calls,prompt_tokens,completion_tokens,token_proxy,reason,execution_failed,parse_error,raw_model_output_preview,output_preview,failed_requirements
appworld_llm_code_repair_slice,llm-code-repair,deepseek-chat,0d8a4ee_1,2,appworld_llm_code_repair,1,0,2,3,5,1,1,0,1008,2,2,2362,999,3361,appworld_llm_code_repair,0,,,,
appworld_llm_code_repair_slice,llm-code-repair,deepseek-chat,0d8a4ee_2,2,appworld_llm_code_repair,1,0,4,1,5,0,0,0,13,1,1,846,501,1347,appworld_llm_code_repair,0,,,,
appworld_llm_code_repair_slice,llm-code-repair,deepseek-chat,0d8a4ee_3,2,appworld_llm_code_repair,1,0,2,3,5,2,2,0,1014,3,3,4455,1570,6025,appworld_llm_code_repair,0,,,,
appworld_llm_code_repair_slice,llm-code-repair,deepseek-chat,13547f5_1,1,appworld_llm_code_repair,1,1,6,0,6,0,0,0,8,1,1,837,295,1132,appworld_llm_code_repair,0,,,,
appworld_llm_code_repair_slice,llm-code-repair,deepseek-chat,13547f5_2,1,appworld_llm_code_repair,1,1,6,0,6,0,0,0,6,1,1,838,183,1021,appworld_llm_code_repair,0,,,,
appworld_llm_code_repair_slice,llm-code-repair,deepseek-chat,13547f5_3,1,appworld_llm_code_repair,1,1,6,0,6,0,0,0,7,1,1,837,298,1135,appworld_llm_code_repair,0,,,,
appworld_llm_code_repair_slice,llm-code-repair,deepseek-chat,37a8675_1,2,appworld_llm_code_repair,1,0,0,6,6,3,3,0,16,3,3,3775,1121,4896,appworld_llm_code_repair,0,,,,
appworld_llm_code_repair_slice,llm-code-repair,deepseek-chat,37a8675_2,2,appworld_llm_code_repair,1,0,0,6,6,3,3,0,40,3,3,4401,1988,6389,appworld_llm_code_repair,0,,,,
appworld_llm_code_repair_slice,llm-code-repair,deepseek-chat,37a8675_3,2,appworld_llm_code_repair,1,0,0,6,6,3,3,0,18,3,3,3983,1198,5181,appworld_llm_code_repair,0,,,,
appworld_llm_code_repair_slice,llm-code-repair,deepseek-chat,4fab96f_1,2,appworld_llm_code_repair,1,0,2,6,8,2,2,0,16,3,3,4623,1736,6359,appworld_llm_code_repair,0,,,,
appworld_llm_code_repair_slice,llm-code-repair,deepseek-chat,4fab96f_2,2,appworld_llm_code_repair,1,0,2,6,8,0,0,0,9,1,1,845,784,1629,appworld_llm_code_repair,0,,,,
appworld_llm_code_repair_slice,llm-code-repair,deepseek-chat,4fab96f_3,2,appworld_llm_code_repair,1,0,2,6,8,2,2,0,19,3,3,4586,1761,6347,appworld_llm_code_repair,0,,,,
appworld_llm_code_repair_slice,llm-code-repair,deepseek-chat,6ea6792_1,1,appworld_llm_code_repair,1,0,1,5,6,3,3,0,7,3,3,4135,1580,5715,appworld_llm_code_repair,0,,,,
appworld_llm_code_repair_slice,llm-code-repair,deepseek-chat,6ea6792_2,1,appworld_llm_code_repair,1,0,1,5,6,3,3,0,24,3,3,4385,1585,5970,appworld_llm_code_repair,0,,,,
appworld_llm_code_repair_slice,llm-code-repair,deepseek-chat,6ea6792_3,1,appworld_llm_code_repair,1,0,1,5,6,3,3,0,18,3,3,3727,1086,4813,appworld_llm_code_repair,0,,,,
appworld_llm_code_repair_slice,llm-code-repair,deepseek-chat,771d8fc_1,1,appworld_llm_code_repair,1,1,6,0,6,1,1,0,34,2,2,2064,590,2654,appworld_llm_code_repair,0,,,,
appworld_llm_code_repair_slice,llm-code-repair,deepseek-chat,771d8fc_2,1,appworld_llm_code_repair,1,1,6,0,6,1,1,0,31,2,2,2064,590,2654,appworld_llm_code_repair,0,,,,
appworld_llm_code_repair_slice,llm-code-repair,deepseek-chat,771d8fc_3,1,appworld_llm_code_repair,1,1,6,0,6,1,1,0,32,2,2,2064,590,2654,appworld_llm_code_repair,0,,,,
appworld_llm_code_repair_slice,llm-code-repair,deepseek-chat,cf6abd2_1,1,appworld_llm_code_repair,1,0,7,1,8,1,1,0,11,2,2,2080,633,2713,appworld_llm_code_repair,0,,,,
appworld_llm_code_repair_slice,llm-code-repair,deepseek-chat,cf6abd2_2,1,appworld_llm_code_repair,1,1,8,0,8,1,1,0,11,2,2,2265,1007,3272,appworld_llm_code_repair,0,,,,
appworld_llm_code_repair_slice,llm-code-repair,deepseek-chat,cf6abd2_3,1,appworld_llm_code_repair,1,0,7,1,8,0,0,0,8,1,1,837,501,1338,appworld_llm_code_repair,0,,,,
appworld_llm_code_repair_slice,llm-code-repair,deepseek-chat,07b42fd_1,1,appworld_llm_code_repair,1,1,5,0,5,1,1,0,10,2,2,2055,581,2636,appworld_llm_code_repair,0,,,,
appworld_llm_code_repair_slice,llm-code-repair,deepseek-chat,07b42fd_2,1,appworld_llm_code_repair,1,1,5,0,5,2,2,0,16,3,3,3726,926,4652,appworld_llm_code_repair,0,,,,
appworld_llm_code_repair_slice,llm-code-repair,deepseek-chat,07b42fd_3,1,appworld_llm_code_repair,1,1,5,0,5,2,2,0,16,3,3,3689,891,4580,appworld_llm_code_repair,0,,,,
appworld_llm_code_repair_slice,llm-code-repair,deepseek-chat,aa8502b_1,2,appworld_llm_code_repair,1,1,4,0,4,2,2,0,60,3,3,3955,1257,5212,appworld_llm_code_repair,0,,,,
appworld_llm_code_repair_slice,llm-code-repair,deepseek-chat,aa8502b_2,2,appworld_llm_code_repair,1,1,4,0,4,1,1,0,17,2,2,2171,933,3104,appworld_llm_code_repair,0,,,,
appworld_llm_code_repair_slice,llm-code-repair,deepseek-chat,aa8502b_3,2,appworld_llm_code_repair,1,0,1,3,4,3,3,0,19,3,3,3948,1346,5294,appworld_llm_code_repair,0,,,,
