method,agent,model,task_id,difficulty,intent_type,supported,success,pass_count,fail_count,num_tests,invalid_tool_calls,failed_api_attempts,unsafe_state_changes,api_calls,code_exec_calls,llm_calls,prompt_tokens,completion_tokens,token_proxy,reason,execution_failed,parse_error,raw_model_output_preview,output_preview,failed_requirements
appworld_llm_direct_code_slice,llm-code,Qwen/Qwen2.5-3B-Instruct,0d8a4ee_1,2,appworld_llm_direct_code,1,0,1,4,5,1,0,0,0,1,1,1339,97,1436,appworld_llm_direct_code,1,,,,
appworld_llm_direct_code_slice,llm-code,Qwen/Qwen2.5-3B-Instruct,0d8a4ee_2,2,appworld_llm_direct_code,1,0,1,4,5,1,0,0,1,1,1,1340,88,1428,appworld_llm_direct_code,1,,,,
appworld_llm_direct_code_slice,llm-code,Qwen/Qwen2.5-3B-Instruct,0d8a4ee_3,2,appworld_llm_direct_code,1,0,1,4,5,1,0,0,0,1,1,1342,184,1526,appworld_llm_direct_code,1,,,,
appworld_llm_direct_code_slice,llm-code,Qwen/Qwen2.5-3B-Instruct,13547f5_1,1,appworld_llm_direct_code,1,0,1,5,6,1,0,0,0,1,1,1331,153,1484,appworld_llm_direct_code,1,,,,
appworld_llm_direct_code_slice,llm-code,Qwen/Qwen2.5-3B-Instruct,13547f5_2,1,appworld_llm_direct_code,1,0,1,5,6,1,0,0,0,1,1,1332,157,1489,appworld_llm_direct_code,1,,,,
appworld_llm_direct_code_slice,llm-code,Qwen/Qwen2.5-3B-Instruct,13547f5_3,1,appworld_llm_direct_code,1,0,1,5,6,1,0,0,0,1,1,1331,77,1408,appworld_llm_direct_code,1,,,,
appworld_llm_direct_code_slice,llm-code,Qwen/Qwen2.5-3B-Instruct,37a8675_1,2,appworld_llm_direct_code,1,0,0,6,6,1,0,0,2,1,1,1338,273,1611,appworld_llm_direct_code,1,,,,
appworld_llm_direct_code_slice,llm-code,Qwen/Qwen2.5-3B-Instruct,37a8675_2,2,appworld_llm_direct_code,1,0,0,6,6,1,0,0,1,1,1,1339,115,1454,appworld_llm_direct_code,1,,,,
appworld_llm_direct_code_slice,llm-code,Qwen/Qwen2.5-3B-Instruct,37a8675_3,2,appworld_llm_direct_code,1,0,0,6,6,1,0,0,2,1,1,1338,273,1611,appworld_llm_direct_code,1,,,,
appworld_llm_direct_code_slice,llm-code,Qwen/Qwen2.5-3B-Instruct,024c982_1,1,appworld_llm_direct_code,1,0,0,7,7,1,0,0,0,1,1,1335,83,1418,appworld_llm_direct_code,1,,,,
appworld_llm_direct_code_slice,llm-code,Qwen/Qwen2.5-3B-Instruct,024c982_2,1,appworld_llm_direct_code,1,0,0,7,7,1,0,0,0,1,1,1335,82,1417,appworld_llm_direct_code,1,,,,
