method,agent,model,task_id,difficulty,intent_type,supported,success,pass_count,fail_count,num_tests,invalid_tool_calls,failed_api_attempts,unsafe_state_changes,api_calls,code_exec_calls,llm_calls,prompt_tokens,completion_tokens,token_proxy,reason,execution_failed,parse_error,raw_model_output_preview,output_preview,failed_requirements
appworld_llm_intent_code_slice,llm-intent-code,deepseek-chat,0d8a4ee_1,2,appworld_llm_intent_code,1,0,1,4,5,1,0,0,1000,1,2,2548,652,3200,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,deepseek-chat,0d8a4ee_2,2,appworld_llm_intent_code,1,0,1,4,5,1,0,0,5,1,2,2551,586,3137,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,deepseek-chat,0d8a4ee_3,2,appworld_llm_intent_code,1,0,1,4,5,1,0,0,8,1,2,2556,616,3172,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,deepseek-chat,13547f5_1,1,appworld_llm_intent_code,1,1,6,0,6,0,0,0,8,1,2,2528,292,2820,appworld_llm_intent_code,0,,,,
appworld_llm_intent_code_slice,llm-intent-code,deepseek-chat,13547f5_2,1,appworld_llm_intent_code,1,0,1,5,6,1,0,0,4,1,2,2532,308,2840,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,deepseek-chat,13547f5_3,1,appworld_llm_intent_code,1,1,6,0,6,0,0,0,6,1,2,2530,234,2764,appworld_llm_intent_code,0,,,,
appworld_llm_intent_code_slice,llm-intent-code,deepseek-chat,37a8675_1,2,appworld_llm_intent_code,1,0,0,6,6,1,0,0,4,1,2,2525,380,2905,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,deepseek-chat,37a8675_2,2,appworld_llm_intent_code,1,0,0,6,6,1,0,0,4,1,2,2525,405,2930,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,deepseek-chat,37a8675_3,2,appworld_llm_intent_code,1,0,0,6,6,1,0,0,4,1,2,2525,363,2888,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,deepseek-chat,4fab96f_1,2,appworld_llm_intent_code,1,0,1,7,8,1,0,0,1000,1,2,2539,584,3123,appworld_llm_intent_code,1,,,,
appworld_llm_intent_code_slice,llm-intent-code,deepseek-chat,4fab96f_2,2,appworld_llm_intent_code,1,0,1,7,8,1,0,0,7,1,2,2539,559,3098,appworld_llm_intent_code,1,,,,
