method,agent,model,task_id,difficulty,intent_type,supported,success,pass_count,fail_count,num_tests,invalid_tool_calls,failed_api_attempts,unsafe_state_changes,api_calls,code_exec_calls,llm_calls,prompt_tokens,completion_tokens,token_proxy,reason,execution_failed,parse_error,raw_model_output_preview,output_preview,failed_requirements
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,07bb666_1,1,appworld_llm_react_code,1,0,5,1,6,0,0,0,18,2,3,7240,442,7682,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,07bb666_2,1,appworld_llm_react_code,1,0,2,4,6,1,1,0,19,3,4,8898,607,9505,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,07bb666_3,1,appworld_llm_react_code,1,0,1,5,6,1,1,0,16,5,5,12374,613,12987,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,396c5a2_1,1,appworld_llm_react_code,1,1,6,0,6,0,0,0,7,3,3,7136,328,7464,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,396c5a2_2,1,appworld_llm_react_code,1,1,6,0,6,2,2,0,25,5,5,14756,1588,16344,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,396c5a2_3,1,appworld_llm_react_code,1,0,5,1,6,0,0,0,7,3,4,10162,380,10542,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,57c3486_1,1,appworld_llm_react_code,1,0,1,4,5,3,3,0,22,5,5,14709,1575,16284,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,57c3486_2,1,appworld_llm_react_code,1,1,5,0,5,1,1,0,77,3,3,6508,885,7393,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,57c3486_3,1,appworld_llm_react_code,1,1,5,0,5,1,1,0,104,3,3,6714,888,7602,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,652485c_1,3,appworld_llm_react_code,1,0,6,5,11,0,0,0,21,5,5,13986,792,14778,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,652485c_2,3,appworld_llm_react_code,1,1,11,0,11,0,0,0,22,5,5,13564,826,14390,appworld_llm_react_code,0,,,,
appworld_llm_react_code_slice,llm-react-code,deepseek-chat,652485c_3,3,appworld_llm_react_code,1,0,2,9,11,0,0,0,21,5,5,16905,1494,18399,appworld_llm_react_code,0,,,,
