method,agent,model,task_id,difficulty,intent_type,supported,success,pass_count,fail_count,num_tests,invalid_tool_calls,failed_api_attempts,unsafe_state_changes,api_calls,code_exec_calls,llm_calls,prompt_tokens,completion_tokens,token_proxy,reason,execution_failed,parse_error,raw_model_output_preview,output_preview,failed_requirements
rave_appworld_llm_intent_slice,llm-intent,deepseek-chat,0d8a4ee_1,2,appworld_phone_message_non_venmo_contacts,1,1,5,0,5,0,0,0,13,1,1,2238,45,2283,appworld_rave_phone_message_non_venmo_contacts,0,,,,
rave_appworld_llm_intent_slice,llm-intent,deepseek-chat,0d8a4ee_2,2,appworld_phone_message_non_venmo_contacts,1,1,5,0,5,0,0,0,14,1,1,2239,46,2285,appworld_rave_phone_message_non_venmo_contacts,0,,,,
rave_appworld_llm_intent_slice,llm-intent,deepseek-chat,0d8a4ee_3,2,appworld_phone_message_non_venmo_contacts,1,1,5,0,5,0,0,0,19,1,1,2241,47,2288,appworld_rave_phone_message_non_venmo_contacts,0,,,,
rave_appworld_llm_intent_slice,llm-intent,deepseek-chat,13547f5_1,1,appworld_phone_send_message_to_relationship,1,1,6,0,6,0,0,0,8,1,1,2230,42,2272,appworld_rave_phone_send_message_to_relationship,0,,,,
rave_appworld_llm_intent_slice,llm-intent,deepseek-chat,13547f5_2,1,appworld_phone_send_message_to_relationship,1,1,6,0,6,0,0,0,6,1,1,2231,44,2275,appworld_rave_phone_send_message_to_relationship,0,,,,
rave_appworld_llm_intent_slice,llm-intent,deepseek-chat,13547f5_3,1,appworld_phone_send_message_to_relationship,1,1,6,0,6,0,0,0,6,1,1,2230,44,2274,appworld_rave_phone_send_message_to_relationship,0,,,,
rave_appworld_llm_intent_slice,llm-intent,deepseek-chat,37a8675_1,2,appworld_venmo_send_to_phone_number,1,1,6,0,6,3,3,0,14,1,1,2230,36,2266,appworld_rave_venmo_send_to_phone_number,0,,,,
rave_appworld_llm_intent_slice,llm-intent,deepseek-chat,37a8675_2,2,appworld_venmo_send_to_phone_number,1,1,6,0,6,1,1,0,11,1,1,2230,36,2266,appworld_rave_venmo_send_to_phone_number,0,,,,
rave_appworld_llm_intent_slice,llm-intent,deepseek-chat,37a8675_3,2,appworld_venmo_send_to_phone_number,1,1,6,0,6,1,1,0,11,1,1,2230,36,2266,appworld_rave_venmo_send_to_phone_number,0,,,,
rave_appworld_llm_intent_slice,llm-intent,deepseek-chat,024c982_1,1,appworld_venmo_request_money_from_contact,1,1,7,0,7,0,0,0,8,1,1,2234,49,2283,appworld_rave_venmo_request_money_from_contact,0,,,,
rave_appworld_llm_intent_slice,llm-intent,deepseek-chat,024c982_2,1,appworld_venmo_request_money_from_contact,1,1,7,0,7,0,0,0,8,1,1,2233,50,2283,appworld_rave_venmo_request_money_from_contact,0,,,,
rave_appworld_llm_intent_slice,llm-intent,deepseek-chat,024c982_3,1,appworld_venmo_request_money_from_contact,1,1,7,0,7,0,0,0,8,1,1,2233,49,2282,appworld_rave_venmo_request_money_from_contact,0,,,,
rave_appworld_llm_intent_slice,llm-intent,deepseek-chat,4fab96f_1,2,appworld_venmo_remind_old_payment_requests,1,1,8,0,8,0,0,0,14,1,1,2239,36,2275,appworld_rave_venmo_remind_old_payment_requests,0,,,,
rave_appworld_llm_intent_slice,llm-intent,deepseek-chat,4fab96f_2,2,appworld_venmo_remind_old_payment_requests,1,1,8,0,8,0,0,0,24,1,1,2238,38,2276,appworld_rave_venmo_remind_old_payment_requests,0,,,,
rave_appworld_llm_intent_slice,llm-intent,deepseek-chat,4fab96f_3,2,appworld_venmo_remind_old_payment_requests,1,1,8,0,8,0,0,0,14,1,1,2239,36,2275,appworld_rave_venmo_remind_old_payment_requests,0,,,,
rave_appworld_llm_intent_slice,llm-intent,deepseek-chat,6ea6792_1,1,appworld_venmo_process_pending_payment_requests,1,1,6,0,6,0,0,0,20,1,1,2224,38,2262,appworld_rave_venmo_process_pending_payment_requests,0,,,,
rave_appworld_llm_intent_slice,llm-intent,deepseek-chat,6ea6792_2,1,appworld_venmo_process_pending_payment_requests,1,1,6,0,6,0,0,0,24,1,1,2225,35,2260,appworld_rave_venmo_process_pending_payment_requests,0,,,,
rave_appworld_llm_intent_slice,llm-intent,deepseek-chat,6ea6792_3,1,appworld_venmo_process_pending_payment_requests,1,1,6,0,6,0,0,0,28,1,1,2223,37,2260,appworld_rave_venmo_process_pending_payment_requests,0,,,,
rave_appworld_llm_intent_slice,llm-intent,deepseek-chat,ff58e36_1,2,appworld_venmo_add_friends_by_relationships,1,1,6,0,6,0,0,0,27,1,1,2229,29,2258,appworld_rave_venmo_add_friends_by_relationships,0,,,,
rave_appworld_llm_intent_slice,llm-intent,deepseek-chat,ff58e36_2,2,appworld_venmo_add_friends_by_relationships,1,1,6,0,6,0,0,0,29,1,1,2228,31,2259,appworld_rave_venmo_add_friends_by_relationships,0,,,,
rave_appworld_llm_intent_slice,llm-intent,deepseek-chat,ff58e36_3,2,appworld_venmo_add_friends_by_relationships,1,1,6,0,6,0,0,0,23,1,1,2229,32,2261,appworld_rave_venmo_add_friends_by_relationships,0,,,,
rave_appworld_llm_intent_slice,llm-intent,deepseek-chat,5e27cd7_1,1,appworld_delete_gmail_empty_drafts,1,1,4,0,4,0,0,0,15,1,1,2223,22,2245,appworld_rave_delete_gmail_empty_drafts,0,,,,
